link,judul,tanggal,portal
https://beritacikarang.com/dampak-vaksinasi-covid-19-pengajuan-validasi-nik-di-disdukcapil-kabupaten-bekasi-meningkat/,"Dampak Vaksinasi Covid-19, Pengajuan Validasi NIK di Disdukcapil Kabupaten Bekasi Meningkat",2021-10-07,Berita Cikarang
https://en.antaranews.com/news/193105/pedulilindungi-qr-codes-integrated-with-dozens-of-apps-minister,PeduliLindungi QR codes integrated with dozens of apps: minister,2021-10-07,ANTARA News
https://bloktuban.com/2021/10/07/aplikasi-peduli-lindungi-jadi-persyaratan-masuk-polres-tuban,Aplikasi Peduli Lindungi Jadi Persyaratan Masuk Polres Tuban,2021-10-07,blokTuban.com
https://www.matakepri.com/detail-news/2021/10/07/23299/Beverly-Hotel-Terapkan-Scan-QR-Code-Applikasi-Peduli-Lindungi,Beverly Hotel Terapkan Scan QR Code Applikasi Peduli Lindungi,2021-10-07,MataKepri
https://dorronlinenews.com/2021/10/cegah-penyebaran-covid-19-anggota-polres-dan-pengunjung-di-wajibkan-scan-barcode-peduli-lindungi-di-pintu-masuk-penjagaan-polres/,Cegah Penyebaran Covid-19 Anggota Polres Dan Pengunjung Di Wajibkan Scan Barcode Peduli Lindungi Di Pintu Masuk Penjagaan Polres,2021-10-07,dorronlinenews.com
https://www.mahkamahagung.go.id/id/pengumuman/4843/pemberitahuan-permohonan-scan-digital-code-qr-code-peduli-lindungi-di-lingkungan-perkantoran,Mahkamah Agung Republik Indonesia,2021-10-06,Mahkamah Agung
https://ambon.tribunnews.com/ucnews/2021/10/06/pt-pelni-cabang-namlea-rencana-berlakukan-aplikasi-peduli-lindungi-sebagai-syarat-pembelian-tiket,PT Pelni Cabang Namlea Rencana Berlakukan Aplikasi Peduli Lindungi sebagai Syarat Pembelian Tiket,2021-10-06,Tribunambon.com
https://mapaybandung.pikiran-rakyat.com/jawa-barat/pr-1472736536/soal-rencana-masuk-pasar-pakai-peduli-lindungi-dprd-jabar-sebut-perlu-dikaji-ulang?page=all,"Soal Rencana Masuk Pasar Pakai Peduli Lindungi, DPRD Jabar Sebut Perlu Dikaji Ulang - Mapay Bandung",2021-10-05,Mapay Bandung
https://jatim.tribunnews.com/2021/10/03/seluruh-layanan-di-bawah-satlantas-polres-tulungagung-wajib-gunakan-aplikasi-pedulilindungi,Seluruh Layanan di Bawah Satlantas Polres Tulungagung Wajib Gunakan Aplikasi PeduliLindungi,2021-10-03,Tribunjatim.com
https://manado.tribunnews.com/2021/10/02/masuk-mantos-harus-pakai-aplikasi-peduli-lindungi-diwajibkan-mulai-4-oktober-2021,"Masuk Mantos Harus Pakai Aplikasi Peduli Lindungi, Diwajibkan Mulai 4 Oktober 2021",2021-10-02,manado.tribunnews.com
